Value,Disaggregation combinations using this value,Number of indicators
Air pollution management,34,1
Clean vehicles and transportation technologies,34,1
Environmental charges,34,1
Noise and vibration abatement,34,1
Other environmental protection activities,34,1
Protection against radiation,34,1
"Protection and remediation of soil, groundwater and surface water",34,1
Protection of biodiversity and habitat,34,1
Solid waste management,34,1
"Total, environmental protection activities",34,1
Wastewater management,34,1
