Value,Disaggregation combinations using this value,Number of indicators
"Administrative and support, waste management and remediation services",151,1
"Agriculture, forestry, fishing and hunting",145,1
All transportation,160,1
Finance and insurance excluding monetary authorities,160,1
Information and cultural industries,160,1
Management of companies and enterprises,160,1
Manufacturing,160,1
"Mining, quarrying, and oil and gas extraction",160,1
"Postal services, couriers and messengers, warehousing and storage",156,1
"Professional, scientific and technical services",160,1
Real estate and rental and leasing,148,1
Retail trade,160,1
"Total, all surveyed industries",159,1
Transportation and warehousing,160,1
Utilities,160,1
Wholesale trade,160,1
