Value,Disaggregation combinations using this value,Number of indicators
All management occupations,1,1
Chiefs in First Nation communities,1,1
Federally appointed judges,1,1
First Nations council members,1,1
Legislative and senior management occupations,1,1
Members of federal Cabinet,1,1
Members of national Parliament,1,1
Middle management occupations in retail and wholesale trade and customer services,1,1
"Middle management occupations in trades, transportation, production and utilities",1,1
Specialized middle management occupations,1,1
