Value,Disaggregation combinations using this value,Number of indicators
"Business, finance and administration occupations",132,1
Health occupations,132,1
Management occupations,132,1
Natural and applied sciences and related occupations,132,1
"Natural resources, agriculture and related production occupations",132,1
"Occupations in art, culture, recreation and sport",132,1
"Occupations in education, law and social, community and government services",132,1
Occupations in manufacturing and utilities,132,1
Sales and service occupations,132,1
"Total employees, all occupations",131,1
"Trades, transport and equipment operators and related occupations",132,1
