Value,Disaggregation combinations using this value,Number of indicators
Africa,3,1
Alberta,1,1
All regions,2,1
Antilles,3,1
Arctic,10,1
Asia,3,1
Atlantic Ocean,1,1
Atlantic,10,1
British Columbia,1,1
Canada,8,1
Central America,3,1
Eastern Arctic Ocean,1,1
Europe,3,1
Labrador,1,1
Manitoba,1,1
Middle East,3,1
New Brunswick,1,1
Newfoundland,1,1
North America,3,1
Northwest Territories,1,1
Nova Scotia,1,1
Nunavut,1,1
Oceania,3,1
Ontario,1,1
Pacific Ocean,1,1
Pacific,10,1
Prince Edward Island,1,1
Quebec,1,1
Saskatchewan,1,1
South America,3,1
Western Arctic Ocean,1,1
Yukon,1,1
