Value,Disaggregation combinations using this value,Number of indicators
"Calgary, Alberta",7,1
"Edmonton, Alberta",7,1
"Halifax, Nova Scotia",7,1
"Hamilton, Ontario",7,1
"Kitchener-Cambridge-Waterloo, Ontario",7,1
"Lethbridge, Alberta",7,1
"Moncton, New Brunswick",6,1
"Other census metropolitan areas, British Columbia",7,1
"Other census metropolitan areas, Ontario",7,1
"Other census metropolitan areas, Quebec",6,1
"Ottawa-Gatineau, Ontario/Quebec",7,1
"Regina, Saskatchewan",7,1
"Saint John, New Brunswick",6,1
"Saskatoon, Saskatchewan",7,1
"St. John's, Newfoundland and Labrador",6,1
"Toronto, Ontario",7,1
"Total, census metropolitan areas",7,1
"Vancouver, British Columbia",7,1
"Winnipeg, Manitoba",7,1
