Value,Disaggregation combinations using this value,Number of indicators
Amphibians,1,1
Ants,1,1
Bee flies,1,1
Bees,1,1
Beetles,1,1
Birds index,1,1
Birds,1,1
Bivalves,1,1
Black flies,1,1
Bryophytes,1,1
Caddisflies,1,1
Cephalopods,1,1
Corals,1,1
Decapods,1,1
Dragonflies and damselflies,1,1
Earthworms,1,1
Fish index,1,1
Fishes,1,1
Fleas,1,1
Freshwater bivalves,1,1
Grasshoppers and relatives,1,1
Harvestmen,1,1
Horse flies,1,1
Horseshoe crabs,1,1
Lacewings,1,1
Leeches,1,1
Lichens,1,1
Macrofungi,1,1
Macrolichens,1,1
Mammals index,1,1
Mammals,1,1
Mayflies,1,1
Mosquitoes,1,1
Moths and butterflies,1,1
Myriapods,1,1
Non-marine snails and slugs,1,1
Pseudoscorpions,1,1
Reptiles,1,1
Sawflies,1,1
Scorpionflies,1,1
Sea cucumbers,1,1
Sea stars,1,1
Sea urchins,1,1
Selected flies,1,1
Selected macrofungi,1,1
Slime moulds,1,1
Solifuges,1,1
Spiders,1,1
Sponges,1,1
Springtails,1,1
Stoneflies,1,1
Terrestrial and freshwater snails and slugs,1,1
Ticks,1,1
True bugs,1,1
Vascular plants,1,1
Water mites,1,1
Yellowjackets and relatives,1,1
